config,transcripts_total,transcripts_with_convergence,transcripts_missing_convergence,avg_initial_convergence,avg_final_convergence,avg_convergence_improvement,avg_rounds
d2v1v1,137,137,0,0.8472189781021898,0.9248248175182482,0.07760583941605839,2.0145985401459856
d3v1v1,139,139,0,0.8030791366906475,0.9260143884892086,0.12293525179856114,2.179856115107914
d4v1v1,134,134,0,0.7717537313432836,0.8834701492537314,0.11171641791044776,2.1343283582089554
d5v1v1,135,135,0,0.7259555555555556,0.8905703703703703,0.16461481481481482,2.303703703703704
d6v1v1,117,117,0,0.6906923076923077,0.8837008547008547,0.193008547008547,2.376068376068376
v1v1v1,163,163,0,0.889760736196319,0.889760736196319,0.0,1.0
