technology,n,stability_mean_pairwise_jaccard,stability_mean_pairwise_jaccard_ci_lo,stability_mean_pairwise_jaccard_ci_hi,final_set_size_mean,final_set_size_median,judge_plausible_rate,judge_not_plausible_rate,judge_n,silver_recall_proxy,silver_ref_size,convergence_mean,runtime_seconds_mean
Electric Vehicle Motor,4,0.2813373884910029,0.2078180150325525,0.3564778598056679,63.1,73.0,0.4523809523809524,0.5476190476190477,42,0.3181818181818182,22,,
Electric Vehicle Motor,5,0.23133601780932592,0.15949698418306762,0.30932671015773605,44.6,33.0,0.358974358974359,0.641025641025641,39,0.36363636363636365,22,,
Flow Cytometer,1,0.3170873769925662,0.31404131623072346,0.32005413114480025,191.5,190.0,,,0,0.6896551724137931,29,,
Flow Cytometer,2,0.3434458466166489,0.24380209289467472,0.44971539560226426,51.3,35.5,0.5,0.5,34,0.3793103448275862,29,,
Flow Cytometer,3,0.3302005317671435,0.2518723954029987,0.40512157477672417,49.5,60.0,0.43243243243243246,0.5675675675675675,37,0.3793103448275862,29,,
Flow Cytometer,4,0.37508525393699277,0.28443341744223366,0.4652578031818197,35.3,10.5,0.4888888888888889,0.5111111111111111,45,0.3448275862068966,29,,
Flow Cytometer,5,0.3914987781188997,0.30578503226388376,0.4836847939322653,30.7,9.0,0.43137254901960786,0.5686274509803921,51,0.3448275862068966,29,,
Freeze Dryer (Lyophilizer),1,0.30783434661342485,0.3044949553136116,0.3111324799217423,129.1,129.5,,,0,0.4090909090909091,22,,
Freeze Dryer (Lyophilizer),2,0.25707524022387,0.19224549813490993,0.32375767231584623,62.2,62.5,0.48148148148148145,0.5185185185185186,27,0.3181818181818182,22,,
Freeze Dryer (Lyophilizer),3,0.2673342393579214,0.21520820743032865,0.31706981328321093,74.6,86.0,0.5714285714285714,0.4285714285714286,28,0.3181818181818182,22,,
Freeze Dryer (Lyophilizer),4,0.2538384444666065,0.18879293473697242,0.3244047794815216,51.6,53.5,0.53125,0.46875,32,0.22727272727272727,22,,
Freeze Dryer (Lyophilizer),5,0.23988263207578212,0.17577676746764914,0.307577011085911,36.3,25.0,0.5588235294117647,0.4411764705882353,34,0.22727272727272727,22,,
Hydroponic Systems,1,0.30718627283736827,0.3041429000942388,0.3101347481866553,163.84,166.5,,,0,0.3783783783783784,37,,
Hydroponic Systems,2,0.3661788935292784,0.26132306016732143,0.47828050011418966,73.2,67.0,0.4,0.6,40,0.2972972972972973,37,,
