technology,config,n,stability_mean_jaccard,not_plausible_rate_occurrence,precision_proxy_occurrence,not_plausible_rate_dedup_canon,precision_proxy_dedup_canon,produced_components_median,silver_recall_proxy,final_convergence_mean,rounds_mean,runtime_seconds
MRI Machine,v1v1v1,1,0.085734,0.000000,1.000000,0.000000,1.000000,5.000000,0.428571,0.893600,1.000000,56.792
MRI Machine,d2v1v1,2,0.237574,0.029412,0.970588,0.090909,0.909091,5.000000,0.476190,0.940000,1.800000,2557.717
MRI Machine,d3v1v1,3,0.231742,0.000000,1.000000,0.000000,1.000000,4.000000,0.571429,0.831600,2.000000,159.875
MRI Machine,d4v1v1,4,0.176804,0.000000,1.000000,0.000000,1.000000,7.000000,0.761905,0.894200,2.200000,6194.850
MRI Machine,d5v1v1,5,0.226771,0.000000,1.000000,0.000000,1.000000,5.000000,0.476190,0.880000,2.200000,6428.935
Medical Ultrasound System,v1v1v1,1,0.126992,0.000000,1.000000,0.000000,1.000000,6.000000,0.533333,0.878600,1.000000,56.792
Medical Ultrasound System,d2v1v1,2,0.202407,0.000000,1.000000,0.000000,1.000000,7.000000,0.733333,0.769000,1.200000,2557.717
Medical Ultrasound System,d3v1v1,3,0.235944,0.000000,1.000000,0.000000,1.000000,5.000000,0.666667,0.862600,2.000000,159.875
Medical Ultrasound System,d4v1v1,4,0.107001,0.045455,0.954545,0.153846,0.846154,7.000000,0.733333,0.834800,1.800000,6194.850
Medical Ultrasound System,d5v1v1,5,0.123310,0.000000,1.000000,0.000000,1.000000,6.000000,0.666667,0.922800,2.400000,6428.935
Microwave Backhaul Radio,v1v1v1,1,0.067382,0.000000,1.000000,0.000000,1.000000,6.000000,0.692308,0.883400,1.000000,56.792
Microwave Backhaul Radio,d2v1v1,2,0.096992,0.000000,1.000000,0.000000,1.000000,2.000000,0.461538,0.966600,2.200000,2557.717
Microwave Backhaul Radio,d3v1v1,3,0.253877,0.000000,1.000000,0.000000,1.000000,5.000000,0.769231,0.831200,1.600000,159.875
Microwave Backhaul Radio,d4v1v1,4,0.183900,0.032258,0.967742,0.111111,0.888889,5.000000,0.615385,0.822800,1.800000,6194.850
Microwave Backhaul Radio,d5v1v1,5,0.107993,0.000000,1.000000,0.000000,1.000000,4.000000,0.846154,0.882200,2.200000,6428.935
Military Avionics Module,v1v1v1,1,0.087179,0.000000,1.000000,0.000000,1.000000,5.000000,0.571429,0.880400,1.000000,56.792
Military Avionics Module,d2v1v1,2,0.150673,0.071429,0.928571,0.000000,1.000000,3.000000,0.428571,0.928500,1.750000,2557.717
Military Avionics Module,d3v1v1,3,0.134531,0.000000,1.000000,0.000000,1.000000,5.000000,0.571429,0.962000,2.200000,159.875
Military Avionics Module,d4v1v1,4,0.206234,0.000000,1.000000,0.000000,1.000000,5.000000,0.642857,0.907200,2.400000,6194.850
Military Avionics Module,d5v1v1,5,0.174069,0.037037,0.962963,0.000000,1.000000,5.000000,0.714286,0.973400,2.600000,6428.935
Near-Infrared Spectroscopy Instrument,v1v1v1,1,0.023897,0.022727,0.977273,0.000000,1.000000,6.000000,0.500000,0.896200,1.000000,56.792
Near-Infrared Spectroscopy Instrument,d2v1v1,2,0.039583,0.125000,0.875000,0.000000,1.000000,4.000000,0.650000,0.823200,2.000000,2557.717
Near-Infrared Spectroscopy Instrument,d3v1v1,3,0.053102,0.066667,0.933333,0.090909,0.909091,6.000000,0.500000,0.983400,2.600000,159.875
Near-Infrared Spectroscopy Instrument,d4v1v1,4,0.026726,0.081081,0.918919,0.000000,1.000000,3.000000,0.500000,0.890800,2.600000,6194.850
Near-Infrared Spectroscopy Instrument,d5v1v1,5,0.049936,0.000000,1.000000,0.000000,1.000000,6.000000,0.700000,0.886000,2.200000,6428.935
Network Switch-Router,v1v1v1,1,0.178397,,,,,,,0.892200,1.000000,56.792
Network Switch-Router,d2v1v1,2,0.282061,,,,,,,0.930600,1.600000,2557.717
Network Switch-Router,d3v1v1,3,0.165624,,,,,,,0.872000,2.200000,159.875
Network Switch-Router,d4v1v1,4,0.128730,,,,,,,0.919000,2.000000,6194.850
Network Switch-Router,d5v1v1,5,0.290483,,,,,,,0.934200,2.600000,6428.935
Network Switch/Router,v1v1v1,1,,0.000000,1.000000,0.000000,1.000000,3.000000,0.312500,,,56.792
Network Switch/Router,d2v1v1,2,,0.000000,1.000000,0.000000,1.000000,5.000000,0.687500,,,2557.717
Network Switch/Router,d3v1v1,3,,0.000000,1.000000,0.000000,1.000000,4.000000,0.750000,,,159.875
Network Switch/Router,d4v1v1,4,,0.000000,1.000000,0.000000,1.000000,6.000000,0.687500,,,6194.850
Network Switch/Router,d5v1v1,5,,0.000000,1.000000,0.000000,1.000000,5.000000,0.625000,,,6428.935
Pharmaceutical Lyophilizer,v1v1v1,1,0.043480,,,,,,,0.899000,1.000000,56.792
Pharmaceutical Lyophilizer,d2v1v1,2,,,,,,,,,,2557.717
Pharmaceutical Lyophilizer,d3v1v1,3,0.158893,,,,,,,0.823800,1.800000,159.875
Pharmaceutical Lyophilizer,d4v1v1,4,,,,,,,,,,6194.850
Pharmaceutical Lyophilizer,d5v1v1,5,,,,,,,,,,6428.935
Point-of-Sale Terminal,v1v1v1,1,0.100293,0.000000,1.000000,0.000000,1.000000,6.000000,0.529412,0.882000,1.000000,56.792
Point-of-Sale Terminal,d2v1v1,2,0.216812,0.000000,1.000000,0.000000,1.000000,6.000000,0.764706,0.852800,1.600000,2557.717
Point-of-Sale Terminal,d3v1v1,3,0.186231,0.000000,1.000000,0.000000,1.000000,6.000000,0.705882,0.882400,2.000000,159.875
Point-of-Sale Terminal,d4v1v1,4,0.185859,0.000000,1.000000,0.000000,1.000000,5.000000,0.470588,0.907750,2.000000,6194.850
Point-of-Sale Terminal,d5v1v1,5,0.182874,0.000000,1.000000,0.000000,1.000000,9.000000,0.882353,0.783200,1.400000,6428.935
Pulse Oximeter,v1v1v1,1,0.081943,0.100000,0.900000,0.000000,1.000000,2.000000,0.214286,0.901600,1.000000,56.792
Pulse Oximeter,d2v1v1,2,0.099533,0.111111,0.888889,0.000000,1.000000,3.000000,0.500000,1.000000,2.000000,2557.717
Pulse Oximeter,d3v1v1,3,0.077500,0.000000,1.000000,0.000000,1.000000,5.000000,0.642857,0.922200,2.000000,159.875
Pulse Oximeter,d4v1v1,4,0.115714,0.000000,1.000000,0.000000,1.000000,4.000000,0.785714,0.841800,2.000000,6194.850
Pulse Oximeter,d5v1v1,5,0.185498,0.095238,0.904762,0.000000,1.000000,3.000000,0.428571,0.853200,2.200000,6428.935
Rotary Tablet Press,v1v1v1,1,0.061360,,,,,,,0.896400,1.000000,56.792
Rotary Tablet Press,d2v1v1,2,,,,,,,,,,2557.717
Rotary Tablet Press,d3v1v1,3,0.129167,,,,,,,0.884600,2.000000,159.875
Rotary Tablet Press,d4v1v1,4,,,,,,,,,,6194.850
Rotary Tablet Press,d5v1v1,5,,,,,,,,,,6428.935
Satellite Communication Terminal,v1v1v1,1,0.067798,0.000000,1.000000,0.000000,1.000000,3.000000,0.466667,0.894200,1.000000,56.792
Satellite Communication Terminal,d2v1v1,2,0.017647,0.111111,0.888889,0.125000,0.875000,2.000000,0.533333,0.980000,2.000000,2557.717
Satellite Communication Terminal,d3v1v1,3,0.091032,0.047619,0.952381,0.166667,0.833333,3.000000,0.400000,0.946600,2.400000,159.875
Satellite Communication Terminal,d4v1v1,4,0.066667,0.047619,0.952381,0.000000,1.000000,6.000000,0.666667,0.893000,2.333333,6194.850
Satellite Communication Terminal,d5v1v1,5,0.066829,0.041667,0.958333,0.125000,0.875000,4.000000,0.533333,0.940000,2.600000,6428.935
Servo Motor Drive,v1v1v1,1,0.038168,0.055556,0.944444,0.000000,1.000000,5.000000,0.444444,0.917200,1.000000,56.792
Servo Motor Drive,d2v1v1,2,0.108855,0.111111,0.888889,0.000000,1.000000,5.000000,0.444444,0.902000,1.600000,2557.717
Servo Motor Drive,d3v1v1,3,0.165760,0.121212,0.878788,0.083333,0.916667,6.000000,0.666667,0.981000,2.200000,159.875
Servo Motor Drive,d4v1v1,4,0.096535,0.137931,0.862069,0.090909,0.909091,7.000000,0.611111,0.897600,2.200000,6194.850
Servo Motor Drive,d5v1v1,5,0.081180,0.081081,0.918919,0.000000,1.000000,5.000000,0.666667,0.821000,2.000000,6428.935
Single-use Bioreactor,v1v1v1,1,0.015385,,,,,,,0.883200,1.000000,56.792
Single-use Bioreactor,d2v1v1,2,,,,,,,,,,2557.717
Single-use Bioreactor,d3v1v1,3,0.144571,,,,,,,0.869400,2.000000,159.875
Single-use Bioreactor,d4v1v1,4,,,,,,,,,,6194.850
Single-use Bioreactor,d5v1v1,5,,,,,,,,,,6428.935
Small Cell (5G Picocell),v1v1v1,1,0.343423,0.000000,1.000000,0.000000,1.000000,6.000000,0.571429,0.881600,1.000000,56.792
Small Cell (5G Picocell),d2v1v1,2,0.172549,0.000000,1.000000,0.000000,1.000000,4.000000,0.642857,0.905600,2.000000,2557.717
Small Cell (5G Picocell),d3v1v1,3,0.212517,0.000000,1.000000,0.000000,1.000000,5.500000,0.571429,0.890500,1.500000,159.875
Small Cell (5G Picocell),d4v1v1,4,0.152057,0.000000,1.000000,0.000000,1.000000,5.500000,0.500000,0.916000,1.750000,6194.850
Small Cell (5G Picocell),d5v1v1,5,0.287506,0.000000,1.000000,0.000000,1.000000,5.000000,0.714286,0.836200,1.600000,6428.935
Smart Doorbell Camera,v1v1v1,1,0.053767,0.048780,0.951220,0.111111,0.888889,5.000000,0.444444,0.904800,1.000000,56.792
Smart Doorbell Camera,d2v1v1,2,0.141526,0.090909,0.909091,0.083333,0.916667,6.000000,0.611111,0.873400,1.400000,2557.717
Smart Doorbell Camera,d3v1v1,3,0.117422,0.162162,0.837838,0.111111,0.888889,5.000000,0.444444,0.895600,2.400000,159.875
Smart Doorbell Camera,d4v1v1,4,0.093731,0.159091,0.840909,0.066667,0.933333,7.000000,0.777778,0.852000,2.600000,6194.850
Smart Doorbell Camera,d5v1v1,5,0.145175,0.155556,0.844444,0.076923,0.923077,5.000000,0.666667,0.873400,2.200000,6428.935
Smart Speaker - Voice Assistant Device,v1v1v1,1,0.096648,,,,,,,0.879200,1.000000,56.792
Smart Speaker - Voice Assistant Device,d2v1v1,2,0.356836,,,,,,,0.939800,1.800000,2557.717
Smart Speaker - Voice Assistant Device,d3v1v1,3,0.172029,,,,,,,0.973400,2.200000,159.875
Smart Speaker - Voice Assistant Device,d4v1v1,4,0.154215,,,,,,,0.930600,2.200000,6194.850
Smart Speaker - Voice Assistant Device,d5v1v1,5,0.164022,,,,,,,0.771400,1.800000,6428.935
Smart Speaker / Voice Assistant Device,v1v1v1,1,,0.129032,0.870968,0.125000,0.875000,4.000000,0.700000,,,56.792
Smart Speaker / Voice Assistant Device,d2v1v1,2,,0.150000,0.850000,0.166667,0.833333,3.000000,0.500000,,,2557.717
Smart Speaker / Voice Assistant Device,d3v1v1,3,,0.050000,0.950000,0.125000,0.875000,3.000000,0.700000,,,159.875
Smart Speaker / Voice Assistant Device,d4v1v1,4,,0.074074,0.925926,0.125000,0.875000,4.000000,0.700000,,,6194.850
Smart Speaker / Voice Assistant Device,d5v1v1,5,,0.085714,0.914286,0.090909,0.909091,4.000000,1.000000,,,6428.935
Smartphone,v1v1v1,1,0.900000,0.200000,0.800000,0.000000,1.000000,3.000000,1.000000,0.864000,1.000000,56.792
Smartphone,d2v1v1,2,1.000000,0.400000,0.600000,0.333333,0.666667,3.000000,0.666667,1.000000,1.000000,2557.717
Smartphone,d3v1v1,3,1.000000,0.380952,0.619048,0.333333,0.666667,3.000000,0.666667,1.000000,1.000000,159.875
Smartphone,d4v1v1,4,0.950000,0.400000,0.600000,0.333333,0.666667,3.000000,0.666667,1.000000,1.000000,6194.850
Smartphone,d5v1v1,5,1.000000,0.400000,0.600000,0.333333,0.666667,3.000000,0.666667,1.000000,1.000000,6428.935
Solar String Inverter,v1v1v1,1,0.078004,0.027027,0.972973,0.000000,1.000000,5.000000,0.666667,0.880600,1.000000,56.792
Solar String Inverter,d2v1v1,2,0.128849,0.222222,0.777778,0.250000,0.750000,3.000000,0.250000,1.000000,2.200000,2557.717
Solar String Inverter,d3v1v1,3,0.092929,0.043478,0.956522,0.125000,0.875000,4.000000,0.583333,0.890750,2.500000,159.875
Solar String Inverter,d4v1v1,4,0.092224,0.037037,0.962963,0.100000,0.900000,4.000000,0.750000,0.921800,2.200000,6194.850
Solar String Inverter,d5v1v1,5,0.163380,0.172414,0.827586,0.125000,0.875000,5.000000,0.583333,0.904000,2.600000,6428.935
Space-Grade Solar Array Power Regulator,v1v1v1,1,0.028571,0.000000,1.000000,0.000000,1.000000,6.000000,0.529412,0.887000,1.000000,56.792
Space-Grade Solar Array Power Regulator,d2v1v1,2,0.064286,0.076923,0.923077,0.166667,0.833333,2.000000,0.294118,0.946600,2.400000,2557.717
Space-Grade Solar Array Power Regulator,d3v1v1,3,0.058333,0.166667,0.833333,0.125000,0.875000,3.000000,0.411765,0.955600,2.200000,159.875
Space-Grade Solar Array Power Regulator,d4v1v1,4,0.038258,0.142857,0.857143,0.111111,0.888889,3.000000,0.470588,0.933400,2.200000,6194.850
Space-Grade Solar Array Power Regulator,d5v1v1,5,0.066786,0.090909,0.909091,0.181818,0.818182,5.000000,0.529412,0.928000,2.800000,6428.935
Space-Hardened Satellite Computer,v1v1v1,1,0.007692,0.000000,1.000000,0.000000,1.000000,6.000000,0.458333,0.892600,1.000000,56.792
Space-Hardened Satellite Computer,d2v1v1,2,0.082540,0.038462,0.961538,0.083333,0.916667,4.000000,0.458333,0.893000,1.800000,2557.717
Space-Hardened Satellite Computer,d3v1v1,3,0.021374,0.000000,1.000000,0.000000,1.000000,5.000000,0.625000,0.914800,2.000000,159.875
Space-Hardened Satellite Computer,d4v1v1,4,0.049495,0.052632,0.947368,0.000000,1.000000,6.000000,0.541667,0.955600,2.400000,6194.850
Space-Hardened Satellite Computer,d5v1v1,5,0.025021,0.000000,1.000000,0.000000,1.000000,5.000000,0.791667,0.920600,1.800000,6428.935
Star Tracker (Satellite Attitude Sensor),v1v1v1,1,0.054579,0.235294,0.764706,0.250000,0.750000,4.000000,0.428571,0.881800,1.000000,56.792
Star Tracker (Satellite Attitude Sensor),d2v1v1,2,0.089841,0.166667,0.833333,0.181818,0.818182,4.000000,0.642857,0.977800,2.200000,2557.717
Star Tracker (Satellite Attitude Sensor),d3v1v1,3,0.101445,0.111111,0.888889,0.181818,0.818182,5.000000,0.642857,0.890000,2.000000,159.875
Star Tracker (Satellite Attitude Sensor),d4v1v1,4,0.180916,0.173913,0.826087,0.125000,0.875000,4.000000,0.500000,0.827800,2.200000,6194.850
Star Tracker (Satellite Attitude Sensor),d5v1v1,5,0.065278,0.173913,0.826087,0.166667,0.833333,5.000000,0.714286,0.791750,2.000000,6428.935
Submarine Cable Repeater,v1v1v1,1,0.047809,0.272727,0.727273,0.333333,0.666667,4.000000,0.238095,0.904200,1.000000,56.792
Submarine Cable Repeater,d2v1v1,2,0.082778,0.266667,0.733333,0.200000,0.800000,4.000000,0.428571,0.869800,1.800000,2557.717
Submarine Cable Repeater,d3v1v1,3,0.067424,0.166667,0.833333,0.100000,0.900000,4.000000,0.476190,0.891000,2.200000,159.875
Submarine Cable Repeater,d4v1v1,4,0.060940,0.103448,0.896552,0.000000,1.000000,4.000000,0.333333,0.843000,2.400000,6194.850
Submarine Cable Repeater,d5v1v1,5,0.079115,0.214286,0.785714,0.200000,0.800000,5.000000,0.428571,0.928400,2.800000,6428.935
Surveillance DVR-NVR,v1v1v1,1,0.123065,,,,,,,0.898800,1.000000,56.792
Surveillance DVR-NVR,d2v1v1,2,0.354881,,,,,,,0.924000,2.000000,2557.717
Surveillance DVR-NVR,d3v1v1,3,0.146504,,,,,,,0.975800,2.200000,159.875
Surveillance DVR-NVR,d4v1v1,4,0.170056,,,,,,,0.918400,2.400000,6194.850
Surveillance DVR-NVR,d5v1v1,5,0.130299,,,,,,,0.903600,2.400000,6428.935
Surveillance DVR/NVR,v1v1v1,1,,0.000000,1.000000,0.000000,1.000000,5.000000,0.562500,,,56.792
Surveillance DVR/NVR,d2v1v1,2,,0.000000,1.000000,0.000000,1.000000,4.000000,0.375000,,,2557.717
Surveillance DVR/NVR,d3v1v1,3,,0.000000,1.000000,0.000000,1.000000,3.000000,0.750000,,,159.875
Surveillance DVR/NVR,d4v1v1,4,,0.000000,1.000000,0.000000,1.000000,6.000000,0.562500,,,6194.850
Surveillance DVR/NVR,d5v1v1,5,,0.000000,1.000000,0.000000,1.000000,6.000000,0.687500,,,6428.935
Thermal Imaging Sight,v1v1v1,1,0.042051,0.000000,1.000000,0.000000,1.000000,5.000000,0.526316,0.881600,1.000000,56.792
Thermal Imaging Sight,d2v1v1,2,0.109269,0.052632,0.947368,0.000000,1.000000,5.000000,0.473684,0.880600,1.200000,2557.717
Thermal Imaging Sight,d3v1v1,3,0.043096,0.000000,1.000000,0.000000,1.000000,4.000000,0.684211,0.919800,2.000000,159.875
Thermal Imaging Sight,d4v1v1,4,0.178347,0.000000,1.000000,0.000000,1.000000,4.500000,0.421053,0.852750,1.500000,6194.850
Thermal Imaging Sight,d5v1v1,5,0.175104,0.045455,0.954545,0.000000,1.000000,6.000000,0.789474,0.848400,1.600000,6428.935
UV-C Disinfection System,v1v1v1,1,0.050874,0.000000,1.000000,0.000000,1.000000,4.000000,0.647059,0.861000,1.000000,56.792
UV-C Disinfection System,d2v1v1,2,0.131382,0.000000,1.000000,0.000000,1.000000,4.000000,0.588235,0.900000,1.800000,2557.717
UV-C Disinfection System,d3v1v1,3,0.122668,0.000000,1.000000,0.000000,1.000000,5.000000,0.588235,0.902800,1.800000,159.875
UV-C Disinfection System,d4v1v1,4,0.074231,0.000000,1.000000,0.000000,1.000000,4.000000,0.529412,0.931400,2.000000,6194.850
UV-C Disinfection System,d5v1v1,5,0.161848,0.000000,1.000000,0.000000,1.000000,6.000000,0.529412,0.890000,2.200000,6428.935
WiFi 7 Access Point,v1v1v1,1,0.108074,0.000000,1.000000,0.000000,1.000000,6.000000,0.625000,0.898400,1.000000,56.792
WiFi 7 Access Point,d2v1v1,2,0.080529,0.030303,0.969697,0.000000,1.000000,4.000000,0.625000,0.895600,2.200000,2557.717
WiFi 7 Access Point,d3v1v1,3,0.150656,0.000000,1.000000,0.000000,1.000000,5.000000,0.750000,0.852200,2.000000,159.875
WiFi 7 Access Point,d4v1v1,4,0.094878,0.000000,1.000000,0.000000,1.000000,6.000000,0.687500,0.903000,2.400000,6194.850
WiFi 7 Access Point,d5v1v1,5,0.070386,0.023256,0.976744,0.071429,0.928571,6.000000,0.812500,0.918600,2.400000,6428.935
