n,technologies,stability_median,stability_mean,stability_mean_ci_lo,stability_mean_ci_hi,stability_mean_diff_vs_n1_ci_lo,stability_mean_diff_vs_n1_ci_hi,stability_median_diff_vs_n1_ci_lo,stability_median_diff_vs_n1_ci_hi,not_plausible_median,not_plausible_mean,not_plausible_mean_ci_lo,not_plausible_mean_ci_hi,not_plausible_mean_diff_vs_n1_ci_lo,not_plausible_mean_diff_vs_n1_ci_hi,not_plausible_median_diff_vs_n1_ci_lo,not_plausible_median_diff_vs_n1_ci_hi,not_plausible_pct_techs_improved_vs_n1,produced_materials_median,produced_materials_mean,produced_materials_mean_ci_lo,produced_materials_mean_ci_hi,produced_materials_mean_diff_vs_n1_ci_lo,produced_materials_mean_diff_vs_n1_ci_hi,produced_materials_median_diff_vs_n1_ci_lo,produced_materials_median_diff_vs_n1_ci_hi,silver_recall_median,silver_recall_mean,silver_recall_mean_ci_lo,silver_recall_mean_ci_hi,silver_recall_mean_diff_vs_n1_ci_lo,silver_recall_mean_diff_vs_n1_ci_hi,silver_recall_median_diff_vs_n1_ci_lo,silver_recall_median_diff_vs_n1_ci_hi,convergence_median,convergence_mean,convergence_mean_ci_lo,convergence_mean_ci_hi,convergence_mean_diff_vs_n1_ci_lo,convergence_mean_diff_vs_n1_ci_hi,convergence_median_diff_vs_n1_ci_lo,convergence_median_diff_vs_n1_ci_hi,runtime_median_seconds,runtime_mean_seconds,runtime_mean_ci_lo,runtime_mean_ci_hi,runtime_mean_diff_vs_n1_ci_lo,runtime_mean_diff_vs_n1_ci_hi,runtime_median_diff_vs_n1_ci_lo,runtime_median_diff_vs_n1_ci_hi
1,24,0.2972039003460236,0.31235902360123363,0.2946758260932526,0.33548253487632745,,,,,,,,,,,,,,163.64,171.99607648209187,157.4758163265306,190.29091552602665,,,,,0.549043062200957,0.5410710345945435,0.4961271741526559,0.5833210004151795,,,,,,,,,,,,,,,,,,,,
2,24,0.3249950878593586,0.3519862399379982,0.32248817208246744,0.3853345370918426,0.0013353455589297236,0.07737297666111598,0.004628899555979726,0.0963423925380123,0.4814814814814815,0.45766141466888977,0.4020571371551118,0.5137707959953104,,,,,,60.3,65.65416666666667,56.9125,75.64166666666667,-127.28181614231764,-87.56389748549323,-124.54693877551021,-84.47999999999999,0.3930205949656751,0.41145465648447394,0.3707656587038841,0.4547845236966983,-0.18799585160912047,-0.0701077502513387,-0.21282216034839718,-0.06304531381930761,,,,,,,,,,,,,,,,
3,24,0.3257189543098517,0.32590214822068847,0.3112614601416828,0.3407375946996216,-0.015228403150453707,0.03757118200867243,0.003519873694336595,0.05483359250025799,0.4342857142857143,0.44362951552800883,0.38677528182674653,0.5042147633544617,,,,,,56.8,59.94583333333333,51.9,69.82916666666667,-133.09354752200687,-93.54430484693879,-129.79693877551023,-87.65244897959184,0.35446859903381644,0.37147383607093215,0.3383295131144564,0.4084064464681258,-0.22481960081186209,-0.1129728358913879,-0.25921113421113423,-0.10368961104255225,,,,,,,,,,,,,,,,
4,24,0.29921586366012,0.3050953382956219,0.28433979096097817,0.32652643281982413,-0.03909821527825602,0.021626093245623756,-0.020627422560644204,0.029255502811820322,0.4696691176470588,0.4605263879469142,0.40744164234074143,0.5189294678428755,,,,,,49.95,59.54808377896614,49.737500000000004,70.39803921568627,-133.9982727931598,-93.25812240805415,-135.03,-91.26000000000002,0.3288288288288288,0.35043991814168596,0.3126716436019505,0.3908002866796356,-0.2473735820022543,-0.1312310294143661,-0.2719249349684133,-0.12853087626227377,,,,,,,,,,,,,,,,
5,24,0.3290671885574711,0.3244203066749379,0.2969440396050695,0.35270015872692323,-0.023490448965030608,0.045046116073779785,-0.00883637445875124,0.08583141477094436,0.47058823529411764,0.474429725047272,0.4195880954884957,0.5301552532941828,,,,,,40.85,44.29583333333333,37.475,51.36666666666667,-147.80313723289123,-110.46911525974025,-143.6469387755102,-103.89102040816326,0.30082256169212696,0.32625506771438617,0.28842877403738976,0.3651583522829653,-0.2708368027709423,-0.15696259665148476,-0.3075933075933076,-0.14217950833195842,,,,,,,,,,,,,,,,
